etablissement_id,site_web,adresse,nb_etudiants,url_logo,url_image
0370053G,http://lycee-eiffel-tours.eu,1 rue du Maréchal Augereau BP 17343 37073 Tours,278,,
0350783L,https://www.saintmartin-rennes.org/nos-etablissements/quartier-sainte-genevieve/,14 D rue Ginguené CS 44434 35044 Rennes,390,,
0350783L,https://www.saintmartin-rennes.org/nos-etablissements/quartier-sainte-genevieve/,14 D rue Ginguené CS 44434 35044 Rennes,404,,
0350031U,http://www.lycee-jean-jaures-rennes.fr,24 rue Victor Rault BP 80533 35205 Rennes,422,,
0350031U,http://www.lycee-jean-jaures-rennes.fr,24 rue Victor Rault BP 80533 35205 Rennes,423,,
0040056P,http://www.digne-carmejane.educagri.fr,Route d'Espinouse 04510 Le Chaffaut-Saint-Jurson,,,
0750802P,https://lyc-hectorguimard.ac-paris.fr,19 rue Curial 75019 Paris,474,,
0750802P,https://lyc-hectorguimard.ac-paris.fr,19 rue Curial 75019 Paris,476,,
0790031E,https://www.lycee-hautvaldesevre.fr,22 rue du Panier Fleuri BP 8 79403 Saint-Maixent-l'École,569,,
0790031E,https://www.lycee-hautvaldesevre.fr,22 rue du Panier Fleuri BP 8 79403 Saint-Maixent-l'École,603,,
0060013G,https://www.lycee-bristol.fr/,10 avenue Saint Nicolas CS 20114 06414 Cannes,886,,
0060013G,https://www.lycee-bristol.fr/,10 avenue Saint Nicolas CS 20114 06414 Cannes,896,,
0161003D,http://lycee-louise-michel.fr,Rue Villebois Mareuil 16700 Ruffec,114,,
0161003D,http://lycee-louise-michel.fr,Rue Villebois Mareuil 16700 Ruffec,122,,
9741052A,http://lycee-stella.ac-reunion.fr,Chemin départemental 11 BP 17 97424 Saint-Leu,982,,
9741052A,http://lycee-stella.ac-reunion.fr,Chemin départemental 11 BP 17 97424 Saint-Leu,1001,,
0831187P,http://www.esj-lacordeille.com,2229 route de Faveyrolles 83190 Ollioules,245,,
0831187P,http://www.esj-lacordeille.com,2229 route de Faveyrolles 83190 Ollioules,264,,
0060042N,https://www.lycee-les-palmiers.ac-nice.fr/,15 avenue Banco 06300 Nice,810,,
0060042N,https://www.lycee-les-palmiers.ac-nice.fr/,15 avenue Banco 06300 Nice,843,,
0061763J,https://www.atrium-sud.fr/web/lgt-guillaume-apollinaire-063001,29 bd Jean-Baptiste Verany BP 4107 06300 Nice,1142,,
0061763J,https://www.atrium-sud.fr/web/lgt-guillaume-apollinaire-063001,29 bd Jean-Baptiste Verany BP 4107 06300 Nice,1153,,
0070064G,https://www.lycee-julesfroment.fr,3 rue Albert Seibel CS 50040 07201 Aubenas,651,,
0070064G,https://www.lycee-julesfroment.fr,3 rue Albert Seibel CS 50040 07201 Aubenas,939,,
0880040R,https://www.citescolaire-neufchateau.fr,Rue Victor Martin BP 269 88307 Neufchâteau,581,,
0880040R,https://www.citescolaire-neufchateau.fr,Rue Victor Martin BP 269 88307 Neufchâteau,615,,
0851400K,http://jean-monnet.e-lyco.fr,57 rue de la Demoiselle BP 20 85500 Les Herbiers,766,,
0851400K,http://jean-monnet.e-lyco.fr,57 rue de la Demoiselle BP 20 85500 Les Herbiers,779,,
0492342E,,Square BALZAC 49400 SAUMUR 49400 Saumur,,,
0341699M,https://lyceedelamer.mon-ent-occitanie.fr/,Rue des Cormorans Pointe du Barrou 34207 Sète,,,
0931198X,http://lycee-alfredcostes.fr,146 avenue Henri Barbusse 93000 Bobigny,439,,
0931198X,http://lycee-alfredcostes.fr,146 avenue Henri Barbusse 93000 Bobigny,454,,
0931193S,http://www.lyceeheleneboucher-tremblayenfrance.fr/,70 avenue Gilbert Berger 93290 Tremblay-en-France,525,,
0931193S,http://www.lyceeheleneboucher-tremblayenfrance.fr/,70 avenue Gilbert Berger 93290 Tremblay-en-France,529,,
0690281F,https://joseph-marie-jacquard.ent.auvergnerhonealpes.fr//,20-28 rue Louis Auguste Blanqui BP 35 69921 Oullins,417,,
0690281F,https://joseph-marie-jacquard.ent.auvergnerhonealpes.fr//,20-28 rue Louis Auguste Blanqui BP 35 69921 Oullins,433,,
0120031U,https://raymond-savignac.mon-ent-occitanie.fr,1 rue Agnès Savignac 12200 Villefranche-de-Rouergue,339,,
0120031U,https://raymond-savignac.mon-ent-occitanie.fr,1 rue Agnès Savignac 12200 Villefranche-de-Rouergue,343,,
